State,2020-01_Zillow,2020-02_Zillow,2020-03_Zillow,2020-04_Zillow,2020-05_Zillow,2020-06_Zillow,2020-07_Zillow,2020-08_Zillow,2020-09_Zillow,2020-10_Zillow,2020-11_Zillow,2020-12_Zillow,2021-01_Zillow,2021-02_Zillow,2021-03_Zillow,2021-04_Zillow,2021-05_Zillow,2021-06_Zillow,2021-07_Zillow,2021-08_Zillow,2021-09_Zillow,2021-10_Zillow,2021-11_Zillow,2021-12_Zillow,2022-01_Zillow,2022-02_Zillow,2022-03_Zillow,2022-04_Zillow,2022-05_Zillow,2020-01_COVID,2020-02_COVID,2020-03_COVID,2020-04_COVID,2020-05_COVID,2020-06_COVID,2020-07_COVID,2020-08_COVID,2020-09_COVID,2020-10_COVID,2020-11_COVID,2020-12_COVID,2021-01_COVID,2021-02_COVID,2021-03_COVID
New Mexico,201517.5414053916,202709.04337666463,203924.7146937328,205184.23547505555,206331.2995121842,207460.6771605628,208966.945163026,211106.69117370565,213957.25371307088,217074.91229830045,220147.63994966715,222952.62261891877,225694.19244172305,228888.67006468587,232319.3381431288,235929.6013888369,239507.6247574076,243131.2657884003,246326.79804922684,248821.0088612481,250398.8244924025,251765.38633615183,253561.05436423616,255884.85319232105,259236.5003162372,263610.65636898536,268921.90694986534,274041.9386403544,278207.9466242167,0.0,0.0,4.0,42.0,75.0,728.0,379.0,115.0,47.0,49.0,344.0,532.0,669.0,698.0,1557.0
New York,351551.0571640061,353300.4154822466,354910.53544432746,356247.8919375684,357411.42598108016,358040.4235595213,358218.57127558737,358627.0444216831,360685.973730665,364060.7702733427,368520.7950165458,373440.4087966951,378097.4090955502,382957.0691683441,387497.8748734647,391716.8266337646,395934.5070154008,399884.7288572997,403374.689286976,405502.34993448784,406554.1903240524,408073.7427149636,410358.2352059468,413058.5753119574,416239.5598222833,420095.9600528791,425242.881932561,430509.14856494224,435315.7310788053,0.0,0.0,3.0,15.0,33480.0,46.0,187.0,44820.0,327.0,1058.0,850.0,2084.0,1396.0,1610.0,5726.0
North Carolina,209899.6728652632,211204.75973863472,212662.5702366137,214065.93202530136,214993.58075937972,215676.29715060125,216698.8533352726,218648.14077940665,221582.7512453272,225056.7823772144,228789.9432664043,232489.1926546796,236002.97851201583,239623.7974060408,243324.08640795012,247342.18992537077,251861.66152311835,256957.42715482265,261692.57592689493,265186.94166617765,267480.7066790964,269654.5517515854,272470.0748472404,275630.6068179743,280180.72345191566,285730.8941004435,292413.69554813387,299213.68037343345,305549.3312945505,0.0,0.0,9.0,13.0,34.0,371.0,262.0,3209.0,3977.0,5376.0,7208.0,10397.0,13788.0,15690.0,16003.0
North Dakota,223744.81237347084,223975.9166314116,224236.28332392423,224923.99337089423,225380.41150079653,225660.06811611005,225963.03046879056,226727.602087753,228369.38281765836,229561.98093481653,230532.944624947,230808.15201179223,231231.96957726125,231777.7138348444,232241.56727416057,233137.95090189893,234696.0360448147,236942.73086184252,239082.15059414867,240513.1625190948,241046.61152930887,241515.99504677672,242290.14530806165,243647.9403248243,245722.87060000584,247564.20272997275,249454.73851655345,251509.66698105432,253734.1267484985,0.0,0.0,31.0,10.0,2.0,5.0,262.0,165.0,76.0,90.0,883.0,1029.0,320.0,321.0,266.0
Ohio,156328.35134643767,157353.2027566968,158463.83297596537,159471.2057652286,160115.97492278274,160566.77242197198,161220.44408638446,162567.51590020495,164708.0912645031,167332.8822725556,170221.8861204193,172932.47406689983,175309.30529056225,177545.76776631456,179847.0969519648,182323.41033646185,184922.71947777265,187594.9398919902,189475.16107535543,190115.80759568865,189664.62807252505,189391.15679398607,189774.27695645043,190625.00266604568,192692.77326162253,195707.7862071196,199373.18420268144,202790.71614969397,205574.54609432715,0.0,0.0,4.0,22.0,39.0,76.0,313.0,216.0,342.0,574.0,1102.0,692.0,913.0,2439.0,2482.0
Oklahoma,141676.37044467387,142931.98372245455,143836.98049010607,144325.2774247556,144463.5742687173,144617.5376935314,145055.7608185228,146139.28611938073,147870.97458006808,149839.1574646939,152134.63021049605,154386.92111349216,156505.75283539834,158442.59150079577,160326.29802481495,162182.21399742257,164111.65663844245,166224.9621452291,168026.05973871498,169424.71697483715,170289.83551770088,171648.48896589663,173398.5548789101,175436.89693443206,177970.1693926075,180758.51334907545,183788.04563699596,186389.7354846156,188564.99785084848,0.0,0.0,1.0,15.0,26.0,49.0,171.0,1025.0,1309.0,1386.0,1642.0,2565.0,1687.0,1862.0,3646.0
Oregon,366431.2897904981,369281.98438862985,372279.5876090734,374615.1612270184,375639.7735295666,375703.28065129416,375927.8074722196,377947.4367551101,382066.695358586,387684.92199666816,394371.05029039626,401305.5386389739,408131.4462677022,415338.809487465,423055.9524876002,431155.6653426431,439085.54719620384,446273.6584010262,452511.18318086927,456980.5022631649,460241.0451471138,463170.6039490393,466615.0824830292,470470.7894218311,475651.7452548386,482361.6728245504,490658.9214402477,499007.71950566606,506073.2201879876,0.0,1.0,12.0,6.0,6.0,119.0,2740.0,419.0,63.0,60.0,233.0,448.0,1086.0,1491.0,1599.0
Pennsylvania,193629.11921158223,194820.3478099368,196098.6983541951,197500.51848500688,198350.90915777275,198702.50095346052,199008.3543933654,200031.7943535305,202209.16974140183,204944.1636981814,208216.57436412084,211297.0417429428,214133.19464500967,216901.6520747977,219783.3750369835,222738.68968894787,225706.9677961976,228818.869473847,231076.292528652,231953.10522728608,231192.33019943823,230585.40813704635,230693.7294338996,231668.2009523368,234027.53056382644,237488.6552195652,241819.47474169484,245744.7945571101,248777.22738660115,0.0,0.0,33.0,24.0,12.0,15.0,1563.0,2085.0,7993.0,9877.0,5214.0,8812.0,1693.0,1817.0,1841.0
Rhode Island,301472.51059545664,303907.23648255505,306618.29197157425,308914.89117447025,309933.1446963165,310032.4652232432,310133.4721746478,311714.1579334656,315072.2091348044,319737.8363730055,325300.1491501339,331175.1094854434,336661.2497723636,342388.8389926069,348341.8610715396,354892.00938049244,361509.9665816715,367720.3822342817,372167.3774527269,374326.6356594004,374661.4459691481,374743.613048882,375641.7827211079,377368.2394442411,381344.3295977773,387389.31504810817,395312.0401063412,403086.6425106364,409966.6751027445,0.0,0.0,19.0,330.0,224.0,532.0,380.0,349.0,414.0,558.0,1244.0,2403.0,3715.0,4172.0,4247.0
South Carolina,194641.9092075677,195683.0914074788,196785.7971529569,197796.79548267752,198669.2358940818,199428.46688624483,200434.6539317217,201997.1033288,204333.30887309075,207047.47491763392,209980.9158885822,212740.5704534125,215320.83239118653,217970.584295178,220710.56404978447,223584.13747032188,226932.58116117504,230858.05697217933,234817.6141056752,237937.33030508377,240205.611762416,242527.5393292392,245438.1862129772,248693.37133627688,252781.5491785488,257462.11497530437,262777.46809589904,268198.18114556564,273341.46939703106,0.0,0.0,37.0,63.0,171.0,1204.0,320.0,12137.0,14550.0,1682.0,2115.0,2822.0,5503.0,915.0,6303.0
